IssuerName,SecurityId
Bharat Petroleum Corpn. Ltd.,BPCL.NS
Siemens Ltd.,SIEMENS.NS
Tata Motors Ltd.,TATAMOTORS.NS
Voltas Ltd.,VOLTAS.NS
Great Eastern Shipping Co. Ltd.,GESHIP.NS
Deepak Fertilizers &Petrochemicals,DEEPAKFERT.NS
Excell Industries Ltd.,EXCELINDUS.NS
GARWARE HI-TECH FILMS LIMITED,GRWRHITECH.NS
GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO.NS
Gujarat Narmada Valley Fert.Co.Ltd,GNFC.NS
Novartis India Limited.,NOVARTIND.NS
Sanofi India Ltd,SANOFI.NS
Pfizer Ltd.,PFIZER.NS
Gujarat State Fertilizers & Chem.Ltd,GSFC.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Akzo Nobel India Limited,AKZOINDIA.NS
NOCIL Ltd,NOCIL.NS
Tata Chemicals Ltd,TATACHEM.NS
Tamilnadu Petroproducts Ltd,TNPETRO.NS
Zuari Industries Limited,ZUARIIND.NS
Nestle India Ltd.,NESTLEIND.NS
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM.NS
Asian Paints Ltd.,ASIANPAINT.NS
Britannia Industries Ltd.,BRITANNIA.NS
Colgate-Palmolive (India) Ltd.,COLPAL.NS
EIH Ltd,EIHOTEL.NS
Indian Hotels Co. Ltd,INDHOTEL.NS
Castrol India Ltd,CASTROLIND.NS
ITC Ltd,ITC.NS
Apollo Tyres Ltd,APOLLOTYRE.NS
Ceat Ltd.,CEATLTD.NS
Modi Rubber Ltd.,MODIRUBBER.NS
Finolex Industries Ltd.,FINPIPE.NS
Sunrise Industrial Traders Ltd.,SUNRINV.NS
Gold Rock Investments Ltd.,ZGOLDINV.NS
Dalal Street Investments Ltd.,DSINVEST.NS
Centrum Capital Limited,CENTRUM.NS
TCI Finance Limited,TCIFINANCE.NS
LORDS MARK INDIA LIMITED,LORDSMARK.NS
ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH.NS
Industrial Investment Trust Ltd.,IITL.NS
Industrial & Prudential Inv. Co. Lt,INDPRUD.NS
Tata Investment Corporation Ltd.,TATAINVEST.NS
Jayabharat Credit Ltd.,JAYBHCR.NS
PRISMX GLOBAL VENTURES LIMITED,PRISMX.NS
Motor & General Finance (M.G.F.) Lt,MOTOGENFIN.NS
Rapid Investments Ltd.,RAPIDIN.NS
Walchand Peoplefirst Limited,WALCHPF.NS
Swastik Safe Deposit & Invest. Ltd.,ZSWASTSA.NS
W.H. Brady & Co. Ltd.,WHBRADY.NS
TechNVision Ventures Limited,TECHNVISN.NS
Shaily Engineering Plastics Ltd.,SHAILY.NS
Bombay Burmah Trading Corpn. Ltd.,BBTC.NS
Bombay Cycle & Motor Agency Ltd.,BOMBCYC.NS
Greaves Cotton Ltd.,GREAVESCOT.NS
Muller & Phipps (India) Ltd.,MULLER.NS
SPRINGFORM TECHNOLOGY LIMITED,SFTL.NS
Amalgamated Electricity Co. Ltd.,AMALGAM.NS
Anand Projects Ltd,ANANDPROJ.NS
India Nivesh Limited,INDIANVSH.NS
Coastal Corporation Limited,COASTCORP.NS
Chowgule Steamships Ltd.,CHOWGULSTM.NS
Global Offshore Services Ltd,GLOBOFFS.NS
ASI INDUSTRIES LIMITED,ASIIL.NS
Sagar Cements Ltd,SAGCEM.NS
Hemadri Cements Limited,HEMACEM.NS
Deccan Cements Ltd.,DECCANCE.NS
Mangalam Cement Ltd.,MANGLMCEM.NS
NCL Industries Limited,NCLIND.NS
Saurashtra Cement Limited,SAURASHCEM.NS
Shree Digvijay Cement Co. Ltd.,SHREDIGCEM.NS
BOROSIL RENEWABLES LIMITED,BORORENEW.NS
LERTHAI FINANCE LIMITED,LERTHAI.NS
Triveni Glass Ltd.,TRIVENIGQ.NS
Nilachal Refractories Ltd.,NILACHAL.NS
ANDHRA PAPER LIMITED,ANDHRAPAP.NS
